"learning_rate","target","scale","n","mae","mb","r2","slope","reference_mean","generated_mean","source","training_regime","family","model_key","model_class","model_class_label","training_regime_label"
1e-04,"BF","pixel_new_developed",150166,0.132450574265699,-0.0373727796846615,0.0726174881159544,0.192734492268264,0.146456193989421,0.109083414304759,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
2e-04,"BF","pixel_new_developed",150166,0.132364559736261,-0.02206870434748,0.0791513652726328,0.208128292404272,0.146456193989421,0.124387489641941,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
5e-04,"BF","pixel_new_developed",150166,0.134226122156518,-0.0162583270421604,0.078691873379295,0.217286709403054,0.146456193989421,0.13019786694726,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
0.001,"BF","pixel_new_developed",150166,0.130278396023961,-0.0190126791381972,0.0873698700668784,0.215940325526004,0.146456193989421,0.127443514851223,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p001_seed_5026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
1e-04,"BH","pixel_new_developed",150166,3.09645155023945,0.589218845843272,0.0431952923245061,0.158058872790445,3.255019946495,3.84423879233827,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
2e-04,"BH","pixel_new_developed",150166,3.2251451333752,0.99863762627455,0.0367128251376425,0.146784907415352,3.255019946495,4.25365757276955,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
5e-04,"BH","pixel_new_developed",150166,4.66562744667265,3.210929084329,0.0130492388029742,0.117753547358319,3.255019946495,6.465949030824,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
0.001,"BH","pixel_new_developed",150166,3.27672407994747,1.26785379734951,0.0385517942069267,0.144290263541348,3.255019946495,4.5228737438445,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p001_seed_5026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
1e-04,"BF","window_256",107,0.0463303486548939,-0.0410503586960922,0.421830522384983,0.561653964256966,0.1424152860505,0.101364927354408,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
2e-04,"BF","window_256",107,0.0377672030873353,-0.0289576449148601,0.454519114030606,0.627890930300364,0.1424152860505,0.11345764113564,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
5e-04,"BF","window_256",107,0.0346123295157243,-0.0212820416063976,0.449066022306422,0.646801187061729,0.1424152860505,0.121133244444103,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
0.001,"BF","window_256",107,0.0352786028862139,-0.0253662865382628,0.441075310061105,0.599859748990163,0.1424152860505,0.117048999512237,"/Volumes/HDD/Models/MSASampleModels/1_BF_UNETBaseline_MSASample/lr_0p001_seed_5026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
