filename,reference_built_pixels,reference_built_pixels_with_valid_hisdac,valid_hisdac_coverage
MSA_13140_X86272_Y83328.tif,9098,8662,0.9520773796438777
MSA_13140_X86272_Y83456.tif,6913,6614,0.9567481556487777
MSA_13140_X86272_Y83712.tif,6138,6011,0.9793092212447051
MSA_13140_X86272_Y83968.tif,4380,4050,0.9246575342465754
MSA_13140_X86272_Y84352.tif,28606,28330,0.9903516744738866
MSA_13140_X86272_Y84480.tif,16381,15949,0.9736279836395825
MSA_13140_X86400_Y84096.tif,7799,7619,0.9769201179638415
MSA_13140_X86400_Y84608.tif,5425,5076,0.935668202764977
MSA_13140_X86528_Y84352.tif,20624,18389,0.8916311093871218
MSA_13140_X86528_Y84480.tif,19794,17170,0.8674345761341821
MSA_13140_X86656_Y84096.tif,6215,6177,0.9938857602574417
MSA_13140_X86656_Y84480.tif,7139,4031,0.5646449082504552
MSA_13140_X86656_Y84736.tif,7749,6132,0.7913279132791328
MSA_13140_X86784_Y83968.tif,6672,6586,0.9871103117505995
MSA_13140_X86784_Y84096.tif,11973,11847,0.9894763217238788
MSA_13140_X86784_Y84224.tif,12114,11886,0.9811788013868251
MSA_13140_X86912_Y84096.tif,7718,7589,0.9832858253433532
MSA_13140_X86912_Y84224.tif,7965,7821,0.9819209039548022
MSA_13140_X86912_Y85248.tif,3392,1704,0.5023584905660378
MSA_13140_X87040_Y84736.tif,16949,15485,0.9136232226090035
MSA_13140_X87040_Y84992.tif,25807,23988,0.9295152478009843
MSA_13140_X87168_Y84736.tif,7781,6463,0.8306130317439918
MSA_13140_X87296_Y84352.tif,5522,5273,0.9549076421586382
MSA_13140_X87296_Y84608.tif,7978,7644,0.9581348708949612
MSA_13140_X87424_Y84096.tif,5741,5388,0.9385124542762585
MSA_13140_X87424_Y84224.tif,8534,7855,0.9204359034450433
MSA_13140_X87424_Y84480.tif,8433,7817,0.9269536345310091
MSA_13140_X87552_Y84096.tif,10546,10203,0.9674758202161957
MSA_13140_X87552_Y84352.tif,13484,11480,0.8513794126371996
MSA_13140_X87552_Y84480.tif,3635,2021,0.5559834938101789
MSA_13140_X87680_Y84096.tif,7136,6895,0.9662275784753364
MSA_13220_X123264_Y51456.tif,4914,4251,0.8650793650793651
MSA_13220_X123392_Y51456.tif,6432,5752,0.8942786069651741
MSA_13220_X123392_Y51584.tif,8823,8051,0.9125014167516717
MSA_13220_X123392_Y52480.tif,12487,11575,0.9269640426043085
MSA_13220_X123520_Y52608.tif,7183,6780,0.9438953083669775
MSA_13740_X47616_Y23808.tif,6975,6679,0.957562724014337
MSA_13740_X48128_Y23936.tif,6403,6045,0.9440887084179291
MSA_13740_X48256_Y23808.tif,9012,8863,0.9834664891256103
MSA_13780_X134400_Y34048.tif,8229,7909,0.9611131364685868
MSA_13780_X134528_Y33792.tif,12711,12224,0.9616867280308394
MSA_13780_X134656_Y33024.tif,3143,2618,0.8329621380846325
MSA_13780_X134656_Y33792.tif,18266,17262,0.9450344903098653
MSA_13780_X134656_Y34048.tif,11410,11162,0.9782646801051709
MSA_13780_X134784_Y33664.tif,7441,6822,0.9168122564171483
MSA_13780_X134784_Y33792.tif,19840,18238,0.9192540322580646
MSA_13780_X134784_Y33920.tif,19301,18008,0.9330086524014299
MSA_13780_X134784_Y34048.tif,7198,6897,0.9581828285634899
MSA_13780_X135040_Y33920.tif,16158,15730,0.9735115732145068
MSA_13780_X135296_Y33920.tif,6224,5496,0.8830334190231363
MSA_13820_X107904_Y70656.tif,6361,6126,0.9630561232510612
MSA_13820_X108032_Y70016.tif,6094,5953,0.9768624876928126
MSA_13820_X108032_Y70656.tif,14881,14447,0.9708352933270613
MSA_13820_X108032_Y70912.tif,8328,7419,0.890850144092219
MSA_13820_X108160_Y70400.tif,13630,12343,0.905575935436537
MSA_13820_X108160_Y70528.tif,22417,20937,0.9339786768969978
MSA_13820_X108160_Y70784.tif,21036,19788,0.9406731317741015
MSA_13820_X108160_Y71040.tif,10183,9727,0.9552194834528135
MSA_13820_X108288_Y70016.tif,10308,9794,0.9501358168412883
MSA_13820_X108288_Y70144.tif,14935,14564,0.9751590224305323
MSA_13820_X108288_Y70528.tif,27583,26107,0.946488779320596
MSA_13820_X108288_Y70784.tif,15477,14835,0.9585190928474511
MSA_13820_X108288_Y71040.tif,9563,9148,0.956603576283593
MSA_13820_X108288_Y71168.tif,6448,6234,0.9668114143920595
MSA_13820_X108416_Y69248.tif,4730,4480,0.9471458773784355
MSA_13820_X108416_Y69888.tif,7087,6728,0.9493438690560181
MSA_13820_X108416_Y70144.tif,14582,13604,0.9329310108352764
MSA_13820_X108416_Y70272.tif,24664,23158,0.9389393447940317
MSA_13820_X108544_Y69248.tif,5523,5218,0.9447763896433098
MSA_13820_X108544_Y69760.tif,12783,12375,0.9680826097160291
MSA_13820_X108544_Y70144.tif,14979,13712,0.9154149142132318
MSA_13820_X108544_Y71040.tif,12927,12259,0.9483252107991027
MSA_13820_X108544_Y71168.tif,13609,13056,0.9593651260195459
MSA_13820_X108544_Y71552.tif,5125,4659,0.9090731707317073
MSA_13820_X108672_Y69888.tif,12773,12015,0.9406560714006107
MSA_13820_X108672_Y70016.tif,14851,13946,0.9390613426705272
MSA_13820_X108672_Y70144.tif,24145,23114,0.9572996479602403
MSA_13820_X108672_Y70528.tif,33116,32452,0.9799492692354149
MSA_13820_X108672_Y71424.tif,14656,13549,0.9244677947598253
MSA_13820_X108672_Y71680.tif,4652,4081,0.8772570937231299
MSA_13820_X108672_Y71808.tif,5870,4809,0.8192504258943782
MSA_13820_X108672_Y71936.tif,6202,5185,0.8360206385037084
MSA_13820_X108800_Y69376.tif,4360,3987,0.9144495412844037
MSA_13820_X108800_Y69760.tif,11374,10346,0.9096184279936698
MSA_13820_X108800_Y70144.tif,29469,28580,0.96983270555499
MSA_13820_X108800_Y70272.tif,33770,33146,0.9815220610008883
MSA_13820_X108800_Y70528.tif,27658,27222,0.9842360257430038
MSA_13820_X108800_Y70656.tif,25996,25617,0.9854208339744576
MSA_13820_X108800_Y70784.tif,22614,21602,0.9552489608207305
MSA_13820_X108800_Y71168.tif,10100,9240,0.9148514851485149
MSA_13820_X108800_Y71424.tif,6785,5507,0.8116433308769344
MSA_13820_X108800_Y71552.tif,8758,7058,0.8058917561087006
MSA_13820_X108800_Y71808.tif,5007,4199,0.8386259237068104
MSA_13820_X108928_Y70016.tif,22434,22081,0.9842649549790496
MSA_13820_X108928_Y70528.tif,18063,17391,0.9627968775950839
MSA_13820_X108928_Y70912.tif,6145,5735,0.9332790886899919
MSA_13820_X108928_Y71552.tif,5834,4359,0.7471717517997943
MSA_13820_X108928_Y71680.tif,7094,5888,0.8299971807160981
MSA_13820_X108928_Y72448.tif,3665,2955,0.8062755798090041
MSA_13820_X109056_Y69632.tif,14443,14234,0.9855293221629855
MSA_13820_X109056_Y69760.tif,23541,23418,0.9947750732764113
MSA_13820_X109056_Y69888.tif,24985,24699,0.9885531318791275
MSA_13820_X109056_Y70016.tif,14724,14203,0.9646155935886987
MSA_13820_X109056_Y70656.tif,19183,18382,0.9582442787885107
MSA_13820_X109184_Y69632.tif,9289,8948,0.9632899128000861
MSA_13820_X109184_Y69760.tif,13744,13263,0.9650029103608847
MSA_13820_X109184_Y70656.tif,11484,11050,0.9622082897944967
MSA_13820_X109184_Y70784.tif,8859,8388,0.9468337284117846
MSA_13820_X109312_Y69632.tif,6982,6507,0.9319679175021484
MSA_13820_X109312_Y70144.tif,8001,7574,0.9466316710411199
MSA_13820_X109312_Y70528.tif,4029,3760,0.9332340531149168
MSA_13820_X109312_Y70784.tif,4574,4151,0.9075207695671185
MSA_13820_X109312_Y71040.tif,3355,2949,0.8789865871833085
MSA_13820_X109312_Y71424.tif,3743,3095,0.8268768367619557
MSA_13820_X109312_Y72576.tif,4125,3532,0.8562424242424242
MSA_13820_X109440_Y69504.tif,6071,5752,0.947455114478669
MSA_13820_X109440_Y69888.tif,7434,7227,0.9721549636803875
MSA_13820_X109440_Y70016.tif,12008,11509,0.9584443704197202
MSA_13820_X109440_Y71552.tif,4344,3774,0.8687845303867403
MSA_13820_X109440_Y72832.tif,7661,6616,0.8635948309620154
MSA_13820_X109568_Y68608.tif,7123,6500,0.9125368524498104
MSA_13820_X109568_Y68736.tif,5111,4563,0.8927802778321268
MSA_13820_X109568_Y69120.tif,3760,3326,0.8845744680851064
MSA_13820_X109568_Y70144.tif,3660,3243,0.8860655737704918
MSA_13820_X109696_Y69760.tif,6252,5974,0.955534229046705
MSA_13820_X109824_Y69632.tif,5096,4735,0.929160125588697
MSA_13820_X109824_Y70784.tif,3389,2628,0.7754499852463853
MSA_13820_X110080_Y69760.tif,6378,5966,0.9354029476324867
MSA_13820_X110208_Y70144.tif,6112,5608,0.9175392670157068
MSA_13820_X110592_Y68864.tif,2810,1758,0.6256227758007118
MSA_13900_X67840_Y21760.tif,8657,7321,0.8456740210234492
MSA_13900_X67840_Y21888.tif,3963,2765,0.697703759777946
MSA_13900_X67968_Y21888.tif,7918,6254,0.7898459206870422
MSA_13900_X68096_Y22016.tif,8127,7305,0.8988556662975268
MSA_13900_X68224_Y21760.tif,27559,26396,0.957799629884974
MSA_13900_X68224_Y22016.tif,8280,7429,0.8972222222222223
MSA_14100_X134272_Y38144.tif,7865,6846,0.870438652256834
MSA_14100_X134400_Y38272.tif,6837,6165,0.9017112768758228
MSA_14100_X134528_Y38144.tif,7327,6568,0.8964105363723216
MSA_14100_X134656_Y38016.tif,6423,5329,0.8296746068815195
MSA_14100_X134784_Y37888.tif,10683,9528,0.891884302162314
MSA_14100_X134784_Y38784.tif,2288,1723,0.7530594405594405
MSA_14260_X25344_Y27904.tif,14819,14220,0.9595789189553952
MSA_14260_X25600_Y27648.tif,9352,8995,0.9618263473053892
MSA_14260_X25600_Y28032.tif,17324,14852,0.857307781112907
MSA_14260_X25600_Y28416.tif,9179,8831,0.9620873733522171
MSA_14260_X25728_Y27648.tif,8280,7973,0.9629227053140097
MSA_14260_X25728_Y28288.tif,30387,29257,0.9628130450521605
MSA_14260_X25856_Y27648.tif,5670,5453,0.9617283950617284
MSA_14260_X25856_Y28032.tif,9687,7505,0.7747496644988129
MSA_14260_X25984_Y27904.tif,5776,5374,0.9304016620498615
MSA_14260_X25984_Y28288.tif,7637,7388,0.9673955741783423
MSA_14260_X25984_Y28672.tif,6657,6046,0.9082169145260628
MSA_14260_X26112_Y27264.tif,7636,7435,0.9736773179675222
MSA_14260_X26112_Y27776.tif,5987,5676,0.9480541172540504
MSA_14260_X26240_Y28032.tif,33696,33546,0.9955484330484331
MSA_14260_X26240_Y28288.tif,27767,27012,0.9728094500666259
MSA_14260_X26368_Y27776.tif,13922,13783,0.9900158023272518
MSA_14260_X26368_Y28160.tif,40423,39721,0.9826336491601316
MSA_14260_X26368_Y28288.tif,33925,32972,0.9719086219602063
MSA_14260_X26368_Y28416.tif,26099,25737,0.9861297367715238
MSA_14260_X26368_Y28544.tif,10666,10458,0.9804987811738234
MSA_14260_X26432_Y28160.tif,44293,43599,0.9843316099609419
MSA_14260_X26496_Y27776.tif,7914,7764,0.9810462471569371
MSA_14260_X26496_Y28160.tif,44491,44002,0.9890090130588209
MSA_14260_X26496_Y28288.tif,38977,38331,0.9834261230982374
MSA_14260_X26496_Y28416.tif,23241,22612,0.9729357600791705
MSA_14260_X26624_Y28288.tif,41969,41142,0.9802949796278205
