training_regime,training_regime_label,dataset_name,family,model_class,learning_rate,learning_rate_label,learning_rate_display,checkpoint,target,evaluation_mode,mask_type,hisdac_code,land_use_type,n_tiles,median_tile_bias_m,tile_bias_iqr_low_m,tile_bias_iqr_high_m,reference_mean_bh_m,generated_mean_bh_m,mean_bias_m,mae_m,n_pixels,n_reference_built_pixels
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,5,Residential-Income,1845,4.449191093444824,1.9793882369995115,7.354240417480469,7.441965324138598,10.201691052478806,2.759725712491647,7.144591537208219,5544010,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,5,Residential-Income,1844,1.0543281435966492,-1.1391174793243408,3.2254735827445984,8.6279445060392,8.349110509543635,-0.2788339758659541,5.702603194242789,4781942,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,5,Residential-Income,1844,0.34116603434085846,-2.3704794049263,2.297996759414673,8.717540117004772,7.5668746630213395,-1.150665411529274,5.7111433762597335,4732795,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-0.42178085446357727,-3.560349225997925,1.7492191195487976,9.394452272316991,7.849304996509916,-1.545147283800901,5.388658005421073,4391776,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-0.6350550353527069,-3.6501530408859253,1.3399569392204285,9.453108900684422,7.691926068787179,-1.7611828528396174,5.266470230380844,4364525,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-0.7940597832202911,-3.7906201481819153,1.3026268482208252,9.404128871692015,7.54750323432142,-1.8566256300834807,5.296650157371115,4387257,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,-2.2084901332855225,-5.791461825370789,0.37844621390104294,9.057741899275902,6.543885493182415,-2.5138564192410233,5.872438427348212,13169928,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,0.27976977825164795,-2.596679985523224,2.7308921217918396,9.652033403296667,9.197980188118596,-0.45405319962410134,6.03290929105802,12359034,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,6,Residential-Owned,1925,8.70333194732666,4.559151649475098,11.926626205444336,4.752546797741062,13.325736004486277,8.573189231216814,11.153740743021956,25100186,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,6,Residential-Owned,1926,3.0420721769332886,0.5366519391536713,5.619848012924194,6.940873522807466,9.816382395188826,2.875508890084019,7.486248655579389,17186570,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,6,Residential-Owned,1926,1.5525888800621033,-0.7145515829324722,3.702309250831604,7.6050314679377,8.57731859590735,0.9722871026485859,6.837228066763821,15685643,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,-0.2707171142101288,-3.8435803651809692,2.04555207490921,9.825851672701946,8.721050866219297,-1.1048007746796404,6.024571446283829,12140404,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,-0.5450315177440643,-4.021754860877991,1.768528699874878,9.915023495601835,8.506073042120597,-1.4089504237222916,5.900917665150445,12031218,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,-0.2729097455739975,-3.219771921634674,1.835215151309967,9.441337607826446,8.304751556376825,-1.136586025775179,5.939389526999272,12634842,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,7,Governmental,1416,-1.5626800060272217,-4.597694039344788,0.35191522538661957,9.172533820867022,7.016943221522871,-2.155590653361729,5.21652659254718,959124,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,7,Governmental,1417,-0.24976599216461184,-3.04482364654541,1.7389849424362185,9.875608971790255,8.290298333750838,-1.5853106982572007,5.272064856298495,890841,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,7,Governmental,1429,5.245054721832275,2.1802966594696045,8.37677001953125,7.231619178977537,10.530159623095713,3.298540452659491,7.459548757147161,1216546,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,7,Governmental,1428,1.172826111316681,-1.0405405163764954,3.6102986335754395,8.860507007950634,8.633760086195757,-0.22674693255747622,5.710005097937783,992900,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,7,Governmental,1428,0.45888321101665497,-2.160015106201172,2.613249659538269,8.892597018056474,7.806566319664208,-1.0860306504788817,5.723790849543097,989317,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,7,Governmental,1416,-0.6143245697021484,-3.856979191303253,1.5763125121593475,9.810611698496325,8.164259550562804,-1.646352130711334,5.349512970415782,896743,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,7,Governmental,1416,-0.717383086681366,-3.759097933769226,1.2329997420310974,9.881332511993438,8.00966324038277,-1.8716692673425983,5.236698512932995,890325,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,7,Governmental,1417,-0.811288595199585,-3.7905237674713135,1.0294307470321655,9.820456880435552,7.889631908952174,-1.9308249545627745,5.238183512359231,895844,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,4,Recreational,1211,-1.911291003227234,-4.961292266845703,0.3075398802757263,9.356183052265568,7.0197732073585275,-2.336409840441974,5.560846043660367,395442,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,4,Recreational,1212,-0.3110920637845993,-3.5987542867660522,1.8765302896499636,10.116779743461397,8.234184794926229,-1.8825949079334614,5.678840194600103,365712,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,4,Recreational,1217,5.390710830688477,2.2761785984039307,9.08956241607666,6.999759236626382,10.672073911462428,3.6723146445727757,8.064663523275069,528565,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,4,Recreational,1217,1.4527896642684937,-1.097667217254639,4.042566776275635,8.876128432825512,8.588940244904908,-0.287188169817395,6.193829727813642,416829,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,4,Recreational,1217,0.6766446828842163,-2.083005905151367,2.723564624786377,8.93693309018402,7.792770505817343,-1.1441625781099802,6.111330127001257,413993,NA
